name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Compile,Log.Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
1,jhipster1,X,monolith,session,no,hazelcast,spring-websocket,sql,DiskBased,mariadb,gradle,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
2,jhipster1,,monolith,session,no,hazelcast,spring-websocket,sql,DiskBased,mariadb,gradle,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
3,jhipster2,X,monolith,jwt,no,no,spring-websocket,mongodb,mongodb,mongodb,gradle,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
4,jhipster2,,monolith,jwt,no,no,spring-websocket,mongodb,mongodb,mongodb,gradle,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
5,jhipster3,X,monolith,jwt,no,hazelcast,spring-websocket,sql,DiskBased,mysql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
6,jhipster3,,monolith,jwt,no,hazelcast,spring-websocket,sql,DiskBased,mysql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
7,jhipster4,X,monolith,jwt,hazelcast,hazelcast,no,sql,mariadb,mariadb,gradle,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
8,jhipster4,,monolith,jwt,hazelcast,hazelcast,no,sql,mariadb,mariadb,gradle,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
9,jhipster5,X,monolith,session,no,hazelcast,spring-websocket,sql,InMemory,mysql,gradle,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
10,jhipster5,,monolith,session,no,hazelcast,spring-websocket,sql,InMemory,mysql,gradle,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
11,jhipster6,X,gateway,uaa,no,no,spring-websocket,sql,InMemory,mariadb,maven,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
12,jhipster6,,gateway,uaa,no,no,spring-websocket,sql,InMemory,mariadb,maven,elasticsearch,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
13,jhipster7,X,monolith,session,no,no,no,sql,InMemory,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
14,jhipster7,,monolith,session,no,no,no,sql,InMemory,mysql,gradle,elasticsearch,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
15,jhipster8,X,monolith,session,no,no,spring-websocket,sql,DiskBased,mariadb,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithDocker
16,jhipster8,,monolith,session,no,no,spring-websocket,sql,DiskBased,mariadb,maven,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
17,jhipster9,X,gateway,jwt,ehcache,hazelcast,spring-websocket,sql,InMemory,postgresql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
18,jhipster9,,gateway,jwt,ehcache,hazelcast,spring-websocket,sql,InMemory,postgresql,maven,no,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
19,jhipster10,X,gateway,jwt,ehcache,no,spring-websocket,sql,DiskBased,mysql,gradle,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
20,jhipster10,,gateway,jwt,ehcache,no,spring-websocket,sql,DiskBased,mysql,gradle,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
21,jhipster11,X,monolith,session,no,no,no,sql,mysql,mysql,gradle,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
22,jhipster11,,monolith,session,no,no,no,sql,mysql,mysql,gradle,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
23,jhipster12,X,gateway,jwt,hazelcast,no,spring-websocket,sql,DiskBased,mariadb,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
24,jhipster12,,gateway,jwt,hazelcast,no,spring-websocket,sql,DiskBased,mariadb,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
25,jhipster13,X,gateway,jwt,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
26,jhipster13,,gateway,jwt,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
27,jhipster14,X,monolith,jwt,ehcache,hazelcast,no,sql,DiskBased,mysql,maven,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
28,jhipster14,,monolith,jwt,ehcache,hazelcast,no,sql,DiskBased,mysql,maven,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
29,jhipster15,X,monolith,oauth2,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
30,jhipster15,,monolith,oauth2,hazelcast,hazelcast,no,sql,postgresql,postgresql,maven,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
31,jhipster16,X,monolith,oauth2,no,no,spring-websocket,sql,mysql,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
32,jhipster16,,monolith,oauth2,no,no,spring-websocket,sql,mysql,mysql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
33,jhipster17,X,monolith,oauth2,no,no,spring-websocket,sql,DiskBased,mysql,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
34,jhipster17,,monolith,oauth2,no,no,spring-websocket,sql,DiskBased,mysql,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
35,jhipster18,X,monolith,jwt,no,no,spring-websocket,sql,DiskBased,postgresql,gradle,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
36,jhipster18,,monolith,jwt,no,no,spring-websocket,sql,DiskBased,postgresql,gradle,no,,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
37,jhipster19,X,gateway,jwt,ehcache,no,no,sql,DiskBased,mariadb,gradle,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
38,jhipster19,,gateway,jwt,ehcache,no,no,sql,DiskBased,mariadb,gradle,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
39,jhipster20,X,monolith,session,ehcache,hazelcast,no,sql,mysql,mysql,maven,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
40,jhipster20,,monolith,session,ehcache,hazelcast,no,sql,mysql,mysql,maven,no,X,,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
41,jhipster21,X,monolith,session,ehcache,hazelcast,no,sql,DiskBased,mariadb,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
42,jhipster21,,monolith,session,ehcache,hazelcast,no,sql,DiskBased,mariadb,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
43,jhipster22,X,gateway,uaa,no,no,no,mongodb,mongodb,mongodb,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
44,jhipster22,,gateway,uaa,no,no,no,mongodb,mongodb,mongodb,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
45,jhipster23,X,gateway,uaa,ehcache,no,no,sql,mysql,mysql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
46,jhipster23,,gateway,uaa,ehcache,no,no,sql,mysql,mysql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
47,jhipster24,X,monolith,oauth2,ehcache,hazelcast,no,sql,DiskBased,postgresql,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
48,jhipster24,,monolith,oauth2,ehcache,hazelcast,no,sql,DiskBased,postgresql,gradle,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
49,jhipster25,X,gateway,jwt,hazelcast,hazelcast,no,sql,InMemory,mariadb,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
50,jhipster25,,gateway,jwt,hazelcast,hazelcast,no,sql,InMemory,mariadb,maven,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
51,jhipster26,X,gateway,uaa,hazelcast,no,spring-websocket,sql,DiskBased,mysql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
52,jhipster26,,gateway,uaa,hazelcast,no,spring-websocket,sql,DiskBased,mysql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
53,jhipster27,X,monolith,jwt,ehcache,no,spring-websocket,sql,InMemory,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
54,jhipster27,,monolith,jwt,ehcache,no,spring-websocket,sql,InMemory,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
55,jhipster28,X,monolith,jwt,hazelcast,no,no,sql,DiskBased,mysql,gradle,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
56,jhipster28,,monolith,jwt,hazelcast,no,no,sql,DiskBased,mysql,gradle,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
57,jhipster29,X,gateway,uaa,no,hazelcast,no,sql,mysql,mysql,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
